x,y,z,vx,vy,vz,mass
8.575411756558783e+00,3.098621201021733e+01,-2.787580533073460e+00,-3.867151387440998e-01,-2.115739397125665e-01,-4.913542698760613e-01,1.786204629478140e+00
-1.978746987007078e+01,-4.218391990317141e+01,4.149933392131580e+01,3.342472430637475e-01,-1.237099563988770e-01,-2.863101162705909e-01,1.139907988319131e+00
-2.450448523831270e+01,3.644776747230016e+01,1.232061203047732e+01,-1.331423770154836e-01,-2.854454954781493e-01,-1.577707443820441e-01,1.327781372390586e+00
2.531760539710445e+01,-2.386738234075379e+01,8.968641022427887e+00,1.180186968196034e-01,4.718062360961431e-01,3.734293309166515e-01,1.937392887630217e+00
-5.924534533831487e+00,-4.662009196171212e+01,4.647451270087394e+01,-4.649743335065273e-01,3.423534059034314e-01,-5.764072887373569e-02,1.148310528205852e+00
-3.699249113277001e+01,-4.869096968029441e+00,4.380388736594839e+01,-7.043770486794995e-02,3.040290229448902e-02,3.523715975051498e-01,1.263809537637890e+00
4.033227409875727e+01,-4.296045829559900e+01,-1.009974600401221e+01,-3.370204833466302e-01,4.333936111449015e-01,-4.714986462668282e-01,1.529837139663211e+00
-3.480524449759260e+01,-1.279960029539397e+01,3.570542183383855e+01,3.999439822807089e-01,1.273387240431979e-01,-5.642937158299908e-02,1.517962678576802e+00
9.459045320715290e+00,-1.845262859664710e+01,-4.543766326286433e+00,-4.554506428624932e-01,-1.526244942009363e-01,-7.932290041659906e-02,1.079575024116586e+00
-3.120660051035507e+01,3.611767849584506e+01,-2.754904405818559e+01,-1.794916226430379e-01,-1.859586279947879e-01,-3.375992904002417e-01,1.750070672365870e+00
3.469556465612222e+01,-4.894193554500499e+01,-4.869438131019448e+01,2.511372196767729e-01,-4.191662118646672e-01,-8.240226397064833e-02,1.914116736927124e+00
-4.891508461825283e+01,-5.073261286802168e+00,-5.803039999417163e+00,-3.378244859156975e-01,3.168297000581179e-01,-1.984276119614581e-01,1.062119495618213e+00
-6.039844265918555e+00,2.407644464379928e+01,7.543655159444695e+00,-4.566866168414759e-01,-4.378570243801377e-01,-4.645622600508661e-01,1.087862740311708e+00
-8.948904465156717e+00,-4.569364838801429e+00,-3.336090024038420e+01,9.924739255591622e-02,-1.808487897210225e-01,-1.046766831784783e-01,1.919755769856160e+00
1.329689513834129e+01,5.844898962576146e+00,1.716635082738174e+01,-2.236314332019481e-02,7.249633342554158e-02,1.837066517298544e-01,1.228774076434213e+00
1.550056966952327e+01,-3.982215779704785e+01,-3.562407402137853e+01,1.675575201581238e-01,4.740347746681548e-02,8.684468908680128e-02,1.829733034050899e+00
-1.326828071324089e+01,3.897526781371839e+01,3.915718767026974e+01,3.084016008432806e-01,1.335600937933829e-01,-2.806529667952204e-02,1.851714983979107e+00
1.917552850425911e+01,1.200731616791018e+00,4.356478791775736e+01,-3.947784495249825e-01,4.634872833043539e-01,-3.929845113669055e-01,1.704468943041036e+00
-2.132031961147806e+01,-2.060566212636150e-01,1.221652244389694e+01,4.158310759761470e-01,-4.399371682569426e-01,-2.059488458328768e-01,1.393467932657091e+00
1.304180580494799e+01,4.735484278795216e+01,1.248933373111401e+01,-2.141107138069526e-01,-4.209378069049928e-01,2.651328219795258e-01,1.953446806386787e+00
1.313726590695171e+01,-1.506185435807563e+01,2.849301636634993e+01,4.906988478872243e-01,-2.596054122256888e-01,1.750323691202927e-01,1.799100448283879e+00
3.746512591274919e+01,-3.514895327322652e+01,1.517193633533794e+01,6.965775062348566e-02,1.543395159818155e-01,9.039315558863825e-02,1.674879301187992e+00
1.218314516714814e+01,1.944061188395123e+01,-1.256160266745627e+01,4.004652918582459e-01,-3.002525502260905e-01,-4.964270437811890e-01,1.816296367820490e+00
-2.362660239593719e+01,-2.046220699880591e+01,-2.869156368968292e+01,3.923694468102380e-01,-2.246180836373132e-01,3.320063091461972e-01,1.178258732509920e+00
-1.407467926597934e+01,1.016302970360970e+01,-3.641456077844855e+01,4.809097806266217e-01,4.491166411451736e-01,4.148853784896222e-01,1.971608628039997e+00
